Date,Close
2020-10-21,27.40999984741211
2020-10-22,28.469999313354492
2020-10-23,28.770000457763672
2020-10-26,27.940000534057617
2020-10-27,27.350000381469727
2020-10-28,26.579999923706055
2020-10-29,27.520000457763672
2020-10-30,26.969999313354492
2020-11-02,28.25
2020-11-03,28.530000686645508
2020-11-04,28.520000457763672
2020-11-05,28.65999984741211
2020-11-06,28.079999923706055
2020-11-09,29.110000610351562
2020-11-10,29.360000610351562
2020-11-11,29.079999923706055
2020-11-12,28.579999923706055
2020-11-13,29.709999084472656
2020-11-16,30.729999542236328
2020-11-17,30.809999465942383
2020-11-18,30.350000381469727
2020-11-19,30.600000381469727
2020-11-20,30.56999969482422
2020-11-23,30.510000228881836
2020-11-24,30.770000457763672
2020-11-25,30.510000228881836
2020-11-27,29.8799991607666
2020-11-30,28.860000610351562
2020-12-01,29.65999984741211
2020-12-02,29.5
2020-12-03,30.06999969482422
2020-12-04,30.59000015258789
2020-12-07,30.739999771118164
2020-12-08,30.8799991607666
2020-12-09,30.489999771118164
2020-12-10,29.540000915527344
2020-12-11,29.329999923706055
2020-12-14,28.8799991607666
2020-12-15,29.950000762939453
2020-12-16,30.3799991607666
2020-12-17,30.489999771118164
2020-12-18,29.829999923706055
2020-12-21,29.3799991607666
2020-12-22,29.670000076293945
2020-12-23,29.520000457763672
2020-12-24,29.760000228881836
2020-12-28,29.920000076293945
2020-12-29,29.760000228881836
2020-12-30,29.860000610351562
2020-12-31,30.229999542236328
2021-01-04,28.889999389648438
2021-01-05,29.09000015258789
2021-01-06,29.200000762939453
2021-01-07,28.420000076293945
2021-01-08,28.59000015258789
2021-01-11,28.469999313354492
2021-01-12,28.610000610351562
2021-01-13,29.440000534057617
2021-01-14,29.850000381469727
2021-01-15,29.959999084472656
2021-01-19,29.149999618530273
2021-01-20,30.15999984741211
2021-01-21,29.93000030517578
2021-01-22,30.18000030517578
2021-01-25,30.389999389648438
2021-01-26,30.1299991607666
2021-01-27,29.170000076293945
2021-01-28,30.010000228881836
2021-01-29,29.649999618530273
2021-02-01,30.3799991607666
2021-02-02,30.34000015258789
2021-02-03,30.549999237060547
2021-02-04,30.690000534057617
2021-02-05,30.5
2021-02-08,30.260000228881836
2021-02-09,29.920000076293945
2021-02-10,30.639999389648438
2021-02-11,31.200000762939453
2021-02-12,30.940000534057617
2021-02-16,30.149999618530273
2021-02-17,30.299999237060547
2021-02-18,30.229999542236328
2021-02-19,29.780000686645508
2021-02-22,30.18000030517578
2021-02-23,30.719999313354492
2021-02-24,31.299999237060547
2021-02-25,29.780000686645508
2021-02-26,29.09000015258789
2021-03-01,29.579999923706055
2021-03-02,29.770000457763672
2021-03-03,29.260000228881836
2021-03-04,29.489999771118164
2021-03-05,29.809999465942383
2021-03-08,30.239999771118164
2021-03-09,30.229999542236328
2021-03-10,30.770000457763672
2021-03-11,31.1299991607666
2021-03-12,31.760000228881836
2021-03-15,32.06999969482422
2021-03-16,32.130001068115234
2021-03-17,32.4900016784668
2021-03-18,32.08000183105469
2021-03-19,31.93000030517578
2021-03-22,31.639999389648438
2021-03-23,31.739999771118164
2021-03-24,31.34000015258789
2021-03-25,31.469999313354492
2021-03-26,32.060001373291016
2021-03-29,31.719999313354492
2021-03-30,31.979999542236328
2021-03-31,31.739999771118164
2021-04-01,32.709999084472656
2021-04-05,32.279998779296875
2021-04-06,32.56999969482422
2021-04-07,32.630001068115234
2021-04-08,32.630001068115234
2021-04-09,32.38999938964844
2021-04-12,32.84000015258789
2021-04-13,33.040000915527344
2021-04-14,32.5099983215332
2021-04-15,33.150001525878906
2021-04-16,33.25
2021-04-19,33.349998474121094
2021-04-20,34.04999923706055
2021-04-21,34.31999969482422
2021-04-22,34.040000915527344
2021-04-23,33.9900016784668
2021-04-26,34.16999816894531
2021-04-27,33.91999816894531
2021-04-28,33.58000183105469
2021-04-29,33.869998931884766
2021-04-30,34.34000015258789
2021-05-03,34.150001525878906
2021-05-04,34.029998779296875
2021-05-05,33.09000015258789
2021-05-06,33.54999923706055
2021-05-07,33.52000045776367
2021-05-10,33.5099983215332
2021-05-11,32.83000183105469
2021-05-12,32.11000061035156
2021-05-13,32.56999969482422
2021-05-14,33.08000183105469
2021-05-17,33.31999969482422
2021-05-18,33.400001525878906
2021-05-19,33.25
2021-05-20,33.18000030517578
2021-05-21,32.939998626708984
2021-05-24,33.45000076293945
2021-05-25,33.54999923706055
2021-05-26,33.27000045776367
2021-05-27,32.939998626708984
2021-05-28,33.380001068115234
2021-06-01,34.06999969482422
2021-06-02,34.18000030517578
2021-06-03,33.86000061035156
2021-06-04,33.689998626708984
2021-06-07,34.09000015258789
2021-06-08,34.27000045776367
2021-06-09,34.61000061035156
2021-06-10,34.939998626708984
2021-06-11,34.779998779296875
2021-06-14,35.29999923706055
2021-06-15,34.77000045776367
2021-06-16,34.22999954223633
2021-06-17,34.150001525878906
2021-06-18,33.09000015258789
2021-06-21,33.84000015258789
2021-06-22,33.68000030517578
2021-06-23,33.84000015258789
2021-06-24,33.86000061035156
2021-06-25,33.9900016784668
2021-06-28,33.54999923706055
2021-06-29,33.68000030517578
2021-06-30,33.290000915527344
2021-07-01,33.310001373291016
2021-07-02,33.40999984741211
2021-07-06,33.970001220703125
2021-07-07,34.34000015258789
2021-07-08,34.18000030517578
2021-07-09,34.7599983215332
2021-07-12,34.9900016784668
2021-07-13,34.47999954223633
2021-07-14,34.970001220703125
2021-07-15,35.279998779296875
2021-07-16,35.560001373291016
2021-07-19,34.939998626708984
2021-07-20,36.0
2021-07-21,36.130001068115234
2021-07-22,36.060001373291016
2021-07-23,36.27000045776367
2021-07-26,36.38999938964844
2021-07-27,36.970001220703125
2021-07-28,36.84000015258789
2021-07-29,37.13999938964844
2021-07-30,36.970001220703125
2021-08-02,36.65999984741211
2021-08-03,36.7400016784668
2021-08-04,36.95000076293945
2021-08-05,37.36000061035156
2021-08-06,36.349998474121094
2021-08-09,36.13999938964844
2021-08-10,35.369998931884766
2021-08-11,35.22999954223633
2021-08-12,35.20000076293945
2021-08-13,35.83000183105469
2021-08-16,35.630001068115234
2021-08-17,35.68000030517578
2021-08-18,35.310001373291016
2021-08-19,35.150001525878906
2021-08-20,35.15999984741211
2021-08-23,34.939998626708984
2021-08-24,35.150001525878906
2021-08-25,35.22999954223633
2021-08-26,35.15999984741211
2021-08-27,35.5
2021-08-30,35.79999923706055
2021-08-31,36.0
2021-09-01,36.529998779296875
2021-09-02,36.619998931884766
2021-09-03,36.349998474121094
2021-09-07,35.77000045776367
2021-09-08,36.349998474121094
2021-09-09,35.61000061035156
2021-09-10,35.349998474121094
2021-09-13,35.47999954223633
2021-09-14,35.369998931884766
2021-09-15,35.27000045776367
2021-09-16,35.29999923706055
2021-09-17,34.84000015258789
2021-09-20,34.72999954223633
2021-09-21,34.45000076293945
2021-09-22,34.619998931884766
2021-09-23,34.5
2021-09-24,34.040000915527344
2021-09-27,33.619998931884766
2021-09-28,33.619998931884766
2021-09-29,34.0099983215332
2021-09-30,33.47999954223633
2021-10-01,33.88999938964844
2021-10-04,34.119998931884766
2021-10-05,33.54999923706055
2021-10-06,33.86000061035156
2021-10-07,33.779998779296875
2021-10-08,33.619998931884766
2021-10-11,33.77000045776367
2021-10-12,33.7400016784668
2021-10-13,33.9900016784668
2021-10-14,34.43000030517578
2021-10-15,34.63999938964844
2021-10-18,34.61000061035156
2021-10-19,34.439998626708984
2021-10-20,34.880001068115234
2021-10-21,34.779998779296875
2021-10-22,34.720001220703125
2021-10-25,34.439998626708984
2021-10-26,35.06999969482422
2021-10-27,35.65999984741211
2021-10-28,36.13999938964844
2021-10-29,35.5099983215332
